Dimension:    76    61    27
      lon       lat       dep        vp        dvp      dws_p      vs        dvs      dws_s     VpVs     vpvst
   120.120    26.020    -5.000     3.000      .000      .000     1.736      .000      .000     1.728      .000
   120.120    26.020      .000     3.847      .000      .000     2.226      .000      .000     1.728      .000
   120.120    26.020      .500     4.145      .000      .000     2.399      .000      .000     1.728      .000
   120.120    26.020     3.000     4.648      .000      .000     2.690      .000      .000     1.728      .000
   120.120    26.020     6.000     5.129      .000      .000     2.968      .000      .000     1.728      .000
   120.120    26.020    10.000     5.658      .000      .000     3.274      .000      .000     1.728      .000
   120.120    26.020    15.000     6.042      .000      .000     3.497      .000      .000     1.728      .000
   120.120    26.020    20.000     6.383      .000      .000     3.694      .000      .000     1.728      .000
   120.120    26.020    25.000     6.662      .000      .000     3.855      .000      .000     1.728      .000
   120.120    26.020    30.000     6.997      .000      .000     4.050      .000      .000     1.728      .000
   120.120    26.020    35.000     7.398      .000      .000     4.281      .000      .000     1.728      .000
   120.120    26.020    40.000     7.556      .000      .000     4.373      .000      .000     1.728      .000
   120.120    26.020    45.000     7.714      .000      .000     4.464      .000      .000     1.728      .000
   120.120    26.020    50.000     7.871      .000      .000     4.555      .000      .000     1.728      .000
   120.120    26.020    55.000     7.913      .000      .000     4.579      .000      .000     1.728      .000
   120.120    26.020    60.000     7.955      .000      .000     4.604      .000      .000     1.728      .000
   120.120    26.020    65.000     7.997      .000      .000     4.628      .000      .000     1.728      .000
   120.120    26.020    70.000     8.039      .000      .000     4.652      .000      .000     1.728      .000
   120.120    26.020    80.000     8.100      .000      .000     4.688      .000      .000     1.728      .000
   120.120    26.020    90.000     8.162      .000      .000     4.723      .000      .000     1.728      .000
   120.120    26.020   100.000     8.228      .000      .000     4.762      .000      .000     1.728      .000
   120.120    26.020   120.000     8.347      .000      .000     4.830      .000      .000     1.728      .000
   120.120    26.020   140.000     8.454      .000      .000     4.892      .000      .000     1.728      .000
   120.120    26.020   170.000     8.525      .000      .000     4.933      .000      .000     1.728      .000
   120.120    26.020   200.000     8.725      .000      .000     5.049      .000      .000     1.728      .000
   120.120    26.020   250.000     8.800      .000      .000     5.093      .000      .000     1.728      .000
   120.120    26.020   300.000     8.900      .000      .000     5.150      .000      .000     1.728      .000
   120.120    26.100    -5.000     3.000      .000      .000     1.736      .000      .000     1.728      .000
   120.120    26.100      .000     3.847      .000      .000     2.226      .000      .000     1.728      .000
   120.120    26.100      .500     4.145      .000      .000     2.399      .000      .000     1.728      .000
   120.120    26.100     3.000     4.648      .000      .000     2.690      .000      .000     1.728      .000
   120.120    26.100     6.000     5.129      .000      .000     2.968      .000      .000     1.728      .000
   120.120    26.100    10.000     5.658      .000      .000     3.274      .000      .000     1.728      .000
   120.120    26.100    15.000     6.042      .000      .000     3.497      .000      .000     1.728      .000
   120.120    26.100    20.000     6.383      .000      .000     3.694      .000      .000     1.728      .000
   120.120    26.100    25.000     6.662      .000      .000     3.855      .000      .000     1.728      .000
   120.120    26.100    30.000     6.997      .000      .000     4.050      .000      .000     1.728      .000
   120.120    26.100    35.000     7.398      .000      .000     4.281      .000      .000     1.728      .000
   120.120    26.100    40.000     7.556      .000      .000     4.373      .000      .000     1.728      .000
   120.120    26.100    45.000     7.714      .000      .000     4.464      .000      .000     1.728      .000
   120.120    26.100    50.000     7.871      .000      .000     4.555      .000      .000     1.728      .000
   120.120    26.100    55.000     7.913      .000      .000     4.579      .000      .000     1.728      .000
   120.120    26.100    60.000     7.955      .000      .000     4.604      .000      .000     1.728      .000
   120.120    26.100    65.000     7.997      .000      .000     4.628      .000      .000     1.728      .000
   120.120    26.100    70.000     8.039      .000      .000     4.652      .000      .000     1.728      .000
   120.120    26.100    80.000     8.100      .000      .000     4.688      .000      .000     1.728      .000
   120.120    26.100    90.000     8.162      .000      .000     4.723      .000      .000     1.728      .000
   120.120    26.100   100.000     8.228      .000      .000     4.762      .000      .000     1.728      .000
   120.120    26.100   120.000     8.347      .000      .000     4.830      .000      .000     1.728      .000
   120.120    26.100   140.000     8.454      .000      .000     4.892      .000      .000     1.728      .000
   120.120    26.100   170.000     8.525      .000      .000     4.933      .000      .000     1.728      .000
   120.120    26.100   200.000     8.725      .000      .000     5.049      .000      .000     1.728      .000
   120.120    26.100   250.000     8.800      .000      .000     5.093      .000      .000     1.728      .000
   120.120    26.100   300.000     8.900      .000      .000     5.150      .000      .000     1.728      .000
   120.200    21.300    -5.000     3.000      .000      .000     1.736      .000      .000     1.728      .000
   120.200    21.300      .000     3.847      .000      .000     2.226      .000      .000     1.728      .000
   120.200    21.300      .500     4.145      .000      .000     2.399      .000      .000     1.728      .000
   120.200    21.300     3.000     4.648      .000      .000     2.690      .000      .000     1.728      .000
   120.200    21.300     6.000     5.129      .000      .000     2.968      .000      .000     1.728      .000
   120.200    21.300    10.000     5.658      .000      .000     3.274      .000      .000     1.728      .000
   120.200    21.300    15.000     6.042      .000      .000     3.497      .000      .000     1.728      .000
